Tag,TLabel,Column Inserted By FY (1 = Include in Cap Table),Custom,Abstract,CRDR,Datatype,Doc,IORD,Count
MinorityInterestOwnershipPercentageByParent,"Noncontrolling Interest, Ownership Percentage by Parent",,0,0,,,"The parent entity's interest in net assets of the subsidiary, expressed as a percentage.",I,1
PreferredStockRedemptionAmountFutureRedeemableSecurities,"Preferred Stock, Redemption Amount, Future Redeemable Securities",,0,0,C,,"The redemption (or callable) amount of redeemable preferred stock, excluding currently redeemable preferred stock. Includes amounts representing dividends not declared or paid but which will be payable under the redemption features or for which ultimate payment is solely within the control of the issuer.",I,1
RelatedPartyTransactionDueFromToRelatedPartyNoncurrent,"Related Party Transaction, Due from (to) Related Party, Noncurrent",,0,0,D,,"Amount of receivables to be collected from related parties net of obligations owed to related parties after one year or beyond the normal operating cycle, if longer where one party can exercise control or significant influence over another party including, but not limited to, affiliates, owners or officers and their immediate families and pension trusts.",I,1
RedeemableNoncontrollingInterestEquityPreferredFairValue,"Redeemable Noncontrolling Interest, Equity, Preferred, Fair Value",,0,0,C,,"The fair value as of the reporting date of noncontrolling interests which are redeemable by the (parent) entity (1) at a fixed or determinable price on a fixed or determinable date, (2) at the option of the holder of the noncontrolling interest, or (3) upon occurrence of an event that is not solely within the control of the (parent) entity. The noncontrolling interest holder's ownership (or holders' ownership) may be in the form of preferred shares (regardless of class), preferred partnership units (regardless of class), preferential membership interests, or any other form of preferred equity regardless of investee entity legal form.",I,1
TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiabilityNoncurrent,"Tax Cuts and Jobs Act, Transition Tax for Accumulated Foreign Earnings, Liability, Noncurrent",,0,0,C,,"Amount of tax liability from transition tax on accumulated earnings of controlled foreign corporation deemed repatriated pursuant to Tax Cuts and Jobs Act, classified as noncurrent.",I,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterests,Stockholders Equity Including Portion Attributable To Noncontrolling Interests,,1,0,C,,Stockholders Equity Including Portion Attributable To Noncontrolling Interests.,I,1
FeesReceivableForServicesProvidedToJointVenturesCurrent,Fees for services provided to joint ventures,,1,0,D,,"Amounts due for royalties and service fees outside of the normal course of business from entities in which the reporting entity shares joint control with another party or group, due within 1 year (or 1 business cycle).",I,1
EquityAndMembersEquityStockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Equity And Members Equity Stockholders Equity Including Portion Attributable To Noncontrolling Interest,,1,0,C,,Equity And Members Equity Stockholders Equity Including Portion Attributable To Noncontrolling Interest,I,1
MinorityInterestInRealEstateFunds,Minority Interest In Real Estate Funds,,1,0,C,,"Carrying amount of the equity interests owned by noncontrolling shareholders, partners, or other equity holders in real estate funds included in the entity's consolidated financial statements.",I,1
Membershipequitybeforenoncontrollinginterest,Membership equity before noncontrolling interest,,1,0,C,,Membership equity before noncontrolling interest,I,1
TotalStockholdersEquityBeforeAccumulatedOtherComprehensiveIncomeLossandNoncontrollingInterest,Total Stockholders Equity Before Accumulated Other Comprehensive Income (Loss) and Non-controlling Interest,,1,0,C,,Total Stockholders Equity Before Accumulated Other Comprehensive Income (Loss) and Non-controlling Interest,I,1
EquityAttributableToOrdinaryOwnersOfParent,Equity attributable to ordinary owners of parent,,1,0,C,,The amount of equity attributable to the owners of the parent. This specifically excludes other equity holders and non-controlling interest.,I,1
ParentLPStockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Parent L P Stockholders Equity Including Portion Attributable To Noncontrolling Interest,,1,0,C,,Parent LP stockholders equity including portion attributable to noncontrolling interest,I,1
CurrentLiabilitiesRelatedToBusinessCombinationsAndToNonControllingInterests,Current Liabilities Related To Business Combinations And To Non Controlling Interests,,1,0,C,,"This account includes current portion of contingent considerations that satisfy the recognition criteria of IFRS 3 Business combinations, measured initially at their fair value as at the date of acquisition. This account also includes current portion of liabilities related to non-controlling interests.",I,1
LimitedPartnersInterestInOperatingPartnershipNoncontrollingInterest,Limited Partners Interest In Operating Partnership Noncontrolling Interest,,1,0,C,,Carrying amount of the equity interests owned by noncontrolling partners in an operating partnership of the total minority interest included in the entity's consolidated financial statements.,I,1
NoncurrentLiabilitiesRelatedToBusinessCombinationsAndToNonControllingInterests,Noncurrent Liabilities Related To Business Combinations And To Non-Controlling Interests,,1,0,C,,"This account includes non-current portion of contingent considerations that satisfy the recognition criteria of IFRS 3 Business combinations, measured initially at their fair value as at the date of acquisition. This account also includes non-current portion of liabilities related to non-controlling interests.",I,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestDiscontinuedOperations,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest, Discontinued Operations",,1,0,C,,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest, Discontinued Operations",I,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestContinuingOperations,"Stockholders' Equity, Including Portion Attributable To Noncontrolling Interest, Continuing Operations",,1,0,C,,"Stockholders' Equity, Including Portion Attributable To Noncontrolling Interest, Continuing Operations",I,1
NoncontrollingInterestsPartiallyOwnedProperties,Noncontrolling Interests Partially Owned Properties,,1,0,C,,Carrying amount of equity interests owned by noncontrolling partners in partially owned properties.,I,1
RedeemableLimitedPartners,Redeemable Limited Partners,,1,0,C,,"The greater of carrying value (book value) or fair market value of an entity's issued and outstanding Units which is not included within Partner's Capital in Capital. Represents a security with redemption features that are outside the control of the issuer, is not classified as an asset or liability in conformity with GAAP, and is not mandatorily redeemable. Includes any type of security that is redeemable at a fixed or determinable price or on a fixed or determinable date or dates, is redeemable at the option of the holder, or has conditions for redemption which are not solely within the control of the issuer. If convertible, the issuer does not control the actions or events necessary to issue the maximum number of shares that could be required to be delivered under the conversion option if the holder exercises the option to convert the units to another class of equity.",I,1
AccumulatedOtherComprehensiveIncomeAttributableToNonControllingInterests,Accumulated Other Comprehensive Income Attributable To Non-controlling Interests,,1,0,C,,The amount attributable to non-controlling interest of accumulated items of income and expense (including reclassification adjustments) that are not recognized in profit or loss as required or permitted by other IFRSs.,I,1
RestNonControllingInterest,Rest non controlling interest,,1,0,C,,Rest non controlling interest,I,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAndNetParentInvestment,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest and Net Parent Investment",,1,0,C,,"Amount of stockholders' equity (deficit), attributable to both the parent and noncontrolling interests. Also include the net parent investment. Amount excludes temporary equity.",I,1
EquityAttributableToOwnersOfParentExcludingAccumulatedOtherComprehensiveIncome,Equity Attributable To Owners Of Parent Excluding Accumulated Other Comprehensive Income,,1,0,C,,The amount of equity attributable to the owners of the parent excluding accumulated other comprehensive income and non-controlling interest.,I,1
NonControllingInterestExcludingAccumulatedOtherComprehensiveIncome,Non-controlling Interest Excluding Accumulated Other Comprehensive Income,,1,0,C,,"The amount of equity in a subsidiary not attributable, directly or indirectly, to a parent other than accumulated other comprehensive income.",I,1
NoncontrollingInterestsOperatingPartnershipUnits,Noncontrolling Interests Operating Partnership Units,,1,0,,,Number of partnership units held by noncontrolling interests as of the balance sheet date.,I,1
MandatorilyRedeemableNoncontrollingInterests,MandatorilyRedeemableNoncontrollingInterests,,1,0,C,,Mandatorily redeemable noncontrolling interests.,I,1
ReceivablesFromAndEquityInConstructionJointVenture,Receivables from and equity in construction joint ventures,,1,0,D,,"Amounts due from minority-owned entities in which the reporting entity shares joint control with another party or group, due within 1 year (or 1 business cycle). Also, includes the entity's equity in minority-owned joint ventures.",I,1
StockholdersEquityBeforeCommonStockHeldBySubsidiariesAndNoncontrollingInterests,Stockholders Equity Before Common Stock Held By Subsidiaries And Noncontrolling Interests,,1,0,C,,Stockholders equity subtotal before common stock held by subsidiaries and noncontrolling interests.,I,1
MortgageLoansOnRealEstateTotalCommitmentAmountIncludingNoncontrollingInterestNet,"Mortgage Loans On Real Estate Total Commitment Amount Including Noncontrolling Interest, Net",,1,0,D,,"Mortgage Loans On Real Estate Total Commitment Amount Including Noncontrolling Interest, Net",I,1
AccumulatedOtherComprehensiveIncomeLossTax,Accumulated Other Comprehensive Income (Loss) Tax,,1,0,D,,Tax effect of accumulated other comprehensive income (loss) attributable to both parent entity and noncontrolling interest.,I,1
TotalAssetsExclusiveOfAssetsUnderVehiclePrograms,Total Assets Exclusive Of Assets Under Vehicle Programs,,1,0,D,,Sum of the carrying amounts as of the balance sheet date of all assets excluding assets relating to assets under vehicle programs that are recognized. Assets are probable future economic benefits obtained or controlled by an entity as a result of past transactions or events.,I,1
InvestmentInRelatedParty,Investment In Related Party,,1,0,D,,"Total investments in (A) an entity in which the entity has significant influence, but does not have control, (B) subsidiaries that are not required to be consolidated and are accounted for using the equity and or cost method, and (C) an entity in which the reporting entity shares control of the entity with another party or group. (D) Investment in off-BS unconsolidated entity that issues notes to investors and bank conduit facilities.",I,1
ReceivablesFromPreneedFuneralTrusts,Receivables from Preneed Funeral Trusts,,1,0,D,,"An amount representing assets in trusts, reported at cost, which are controlled and operated by third parties in which the Company does not have a controlling financial interest (less than 50%) in the trust assets. May include both pledged and unpledged holdings.",I,1
TotalInvestmentsAndOtherAssets,Total Investments and Other Assets,,1,0,D,,"Sum of the carrying amounts as of the balance sheet date of all investments and other assets that are expected to be realized in cash, sold, or consumed at a future date that exceeds one year from the balance sheet date. Assets are probable future economic benefits obtained or controlled by an entity as a result of past transactions or events.",I,1
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance,"Temporary Equity,Carrying Amount, Including Portion Attributable to Noncontrolling Interest, Adjusted Balance",,1,0,C,,"Temporary Equity,Carrying Amount, Including Portion Attributable to Noncontrolling Interest, Adjusted Balance",I,1
RepurchaseOfNoncontrollingInterestsTransactionCosts,Repurchase Of Noncontrolling Interests Transaction Costs,,1,0,D,,Repurchase of noncontrolling interests transaction costs.,I,1
NoncontrollingInterestMezzanineEquity,Noncontrolling Interest Mezzanine Equity,,1,0,C,,"Represents contractual value of a noncontrolling interest put (includes underlying noncontrolling interest). In February 2010, the Company completed a transaction to sell the partnership units acquired from the previous noncontrolling interest holder to a new Canadian partner. As a result of this transaction, the Company recorded a component of noncontrolling interest in liabilities and a component in mezzanine equity. This item represents the mezzanine equity component.",I,1
NoncontrollingInterestinAccumulatedotherComprehensiveLoss,Non-controlling Interest in Accumulated other Comprehensive Loss,,1,0,C,,Non-controlling Interest in Accumulated other Comprehensive Loss,I,1
StockholdersEquityAttributableToNoncontrollingInterestExcludingPortionAttributableToNoncontrollingInterestOfWhollyOwnedIndirectSubsidiaryOfRegistrant,"Stockholders' Equity Attributable to Noncontrolling Interest, Excluding Portion Attributable To Noncontrolling Interest Of Wholly Owned Indirect Subsidiary Of Registrant",,1,0,C,,"Total of all stockholders' equity (deficit) items, net of receivables from officers, directors, owners, and affiliates of the entity which is directly or indirectly attributable to that ownership interest in subsidiary equity which is not attributable to the parent (that is, noncontrolling interest, previously referred to as minority interest), excluding portion attributable to noncontrolling interest of the wholly owned indirect subsidiary of the registrant.",I,1
PartiallyOwnedPropertiesNoncontrollingInterests,Partially Owned Properties Noncontrolling Interests,,1,0,C,,"Amount after accumulated depreciation, depletion and amortization of physical assets used in the normal conduct of business to produce goods and services and not intended for resale. Examples include, but are not limited to, land, buildings, machinery and equipment, office equipment, and furniture and fixtures for noncontrolling interest.",I,1
InvestmentsAttributableToNoncontrollingInterest,Investments Attributable to Noncontrolling Interest,,1,0,D,,Investments Attributable to Noncontrolling Interest,I,1
StockholdersEquityAfterCancellationOfPredecessorEquity,Stockholders Equity After Cancellation Of Predecessor Equity,,1,0,C,,"Total of all stockholders' equity (deficit) items, net of receivables from officers, directors, owners, and affiliates of the entity which are attributable to the parent. The amount of the economic entity's stockholders' equity attributable to the parent excludes the amount of stockholders' equity which is allocable to that ownership interest in subsidiary equity which is not attributable to the parent (noncontrolling interest, minority interest) after Cancellation Of Predecessor Equity. This excludes temporary equity and is sometimes called permanent equity.",I,1
StockholdersEquitySharesAfterCancellationOfPredecessorEquity,Stockholders Equity Shares After Cancellation Of Predecessor Equity,,1,0,,,"Total shares stockholders' equity (deficit) items, net of receivables from officers, directors, owners, and affiliates of the entity which are attributable to the parent. The amount of the economic entity's stockholders' equity attributable to the parent excludes the amount of stockholders' equity which is allocable to that ownership interest in subsidiary equity which is not attributable to the parent (noncontrolling interest, minority interest) after Cancellation Of Predecessor Equity. This excludes temporary equity and is sometimes called permanent equity.",I,1
StockholdersEquityBeforeCancellationOfPredecessorEquity,Stockholders Equity before Cancellation of Predecessor Equity,,1,0,C,,"Total of all stockholders' equity (deficit) items, net of receivables from officers, directors, owners, and affiliates of the entity which are attributable to the parent. The amount of the economic entity's stockholders' equity attributable to the parent excludes the amount of stockholders' equity which is allocable to that ownership interest in subsidiary equity which is not attributable to the parent (noncontrolling interest, minority interest) before cancellation of equity. This excludes temporary equity and is sometimes called permanent equity.",I,1
EarningAssets,wbhc_EarningAssets,,1,0,D,,Sum of the carrying amounts as of the balance sheet date of all assets that are recognized that earn interest. Assets are probable future economic benefits obtained or controlled by an entity as a result of past transactions or events.,I,1
RedeemableNoncontrollingInterestEquityCommonStockOwnedByESOPFairValue,"Redeemable Noncontrolling Interest, Equity, Common Stock Owned by ESOP, Fair Value",,1,0,D,,"Redeemable Noncontrolling Interest, Equity, Common Stock Owned by ESOP, Fair Value",I,1
NoncontrollingInterestRedeemablePartnershipUnitsCommonUnitsLongTermIncentiveUnitsAtRedemptionValueSharesOutstanding,NonControlling Interest Redeemable Partnership Units Common Units Long Term Incentive Units At Redemption Value Shares Outstanding,,1,0,,,NonControlling Interest Redeemable Partnership Units Common Units Long Term Incentive Units At Redemption Value Shares Outstanding,I,1
InvestmentsInAndLoansToFromUnconsolidatedRealEstateAffiliatesLiabilities,"Investments in and Loans to from Unconsolidated Real Estate Affiliates, Liabilities",,1,0,C,,"Total investments in (A) an entity in which the entity has significant influence, but does not have control, (B) subsidiaries that are not required to be consolidated and are accounted for using the equity and or cost method, and (C) an entity in which the reporting entity shares control of the entity with another party or group, where the loans or distributions in total exceed the entity's investment in the joint venture.",I,1
NoncontrollingInterestInLimitedPartnerships1,Noncontrolling Interest In Limited Partnerships1,,1,0,C,,Noncontrolling Interest In Limited Partnerships1,I,1
NoncontrollingInterestRedeemablePartnershipUnitsCommonUnitsSharesOutstanding,NonControlling Interest Redeemable Partnership Units Common Units Shares Outstanding,,1,0,,,NonControlling Interest Redeemable Partnership Units Common Units Shares Outstanding,I,1
NoncontrollingInterestsSubjectToRedemption,Noncontrolling Interests Subject to Redemption,,1,0,,,"Noncontrolling interest subject to redemption value that is classified as temporary equity. Temporary equity is a security with redemption features that are outside the control of the issuer, is not classified as an asset or liability in conformity with GAAP, and is not mandatorily redeemable. Includes any type of security that is redeemable at a fixed or determinable price or on a fixed or determinable date or dates, is redeemable at the option of the holder, or has conditions for redemption which are not solely within the control of the issuer.",I,1
DistributionsPayableToNoncontrollingInterestsAndRedeemableNoncontrollingInterests,Distributions Payable To Noncontrolling Interests And Redeemable Noncontrolling Interests,,1,0,C,,Distributions payable to non-controlling interests and redeemable non-controlling interests.,I,1
StockholdersEquityAfterNewAccountingPrincipleInPeriodOfAdoption,Stockholders Equity After New Accounting Principle In Period Of Adoption,,1,0,C,,"Total of all stockholders' equity (deficit) items, net of receivables from officers, directors, owners, and affiliates of the entity which are attributable to the parent, as adjusted for new accounting principle in period of adoption. The amount of the economic entity's stockholders' equity attributable to the parent excludes the amount of stockholders' equity which is allocable to that ownership interest in subsidiary equity which is not attributable to the parent (noncontrolling interest, minority interest). This excludes temporary equity and is sometimes called permanent equity.",I,1
MinorityInterestGross,Minority Interest Gross,,1,0,C,,Represents the amount of non controlling interest before equity appropriation.,I,1
GoodwillAndIntangibleAssetsNet,"Goodwill and intangible assets, net",,1,0,D,,"Amount combines the carrying amounts for goodwill and finite- and indefinite-lived intangible assets. Goodwill represents the carrying amount as of the balance sheet date, which is the cumulative amount paid and (if applicable) the fair value of any noncontrolling interest in the acquire, adjusted for any amortization recognized prior to adoption of any changes in generally accepted accounting principles (as applicable) and for any impairment charges, in excess of the fair value of net assets acquired in one or more business combination transactions. Indefinite-lived intangible assets represent the carrying amount of intangible assets, excluding goodwill, which have a projected indefinite period of benefit (hence are not amortized), allocated to the reportable segment. These assets, acquired either individually or as part of a group of assets, in either an asset acquisition or business combination, are assessed at least annually for impairment. Examples may include trade secrets, contractual rights, trade names, and licensing agreements. Finite-lived intangible assets are the aggregate sum of gross carrying value of a major finite-lived intangible asset class, less accumulated amortization and any impairment charges. A major class is composed of intangible assets that can be grouped together because they are similar, either by their nature or by their use in the operations of a company.",I,1
TotalEquityIncludingTemporaryEquityCarryingAmountAttributableToNoncontrollingInterest,Total Equity Including Temporary Equity Carrying Amount Attributable to Noncontrolling Interest,,1,0,C,,"Amount of stockholders' equity (deficit), net of receivables from officers, directors, owners, and affiliates of the entity, attributable to both the parent and noncontrolling interests. Amount also includes temporary equity.",I,1
InvestmentsInSecuritiesAtFairValueCost,"Investments in securities, at fair value (cost $8,960,682 and $1,586,899 as of June 30, 2021 and December 31, 2020, respectively)",,1,0,C,,"Value of the investment at close of period. For schedules of investments that are categorized, the value would be aggregated by category. For investment in and advances to affiliates, if operations of any controlled companies are different in character from those of the company, group such affiliates within divisions and by type of activities.",I,1
NoncontrollingInterestInJointVenturesAndSubsidiaryMembershipUnits,Noncontrolling Interest in Joint Ventures And Subsidiary Membership Units,,1,0,C,,"Carrying amount of the equity interests owned by noncontrolling shareholders, partners, or other equity holders in joint ventures included in the entity's consolidated financial statements.",I,1
RedeemableNoncontrollingInterest,Redeemable Noncontrolling Interest,,1,0,C,,Redeemable Noncontrolling Interest,I,1
NoncontrollinginterestClassAsharesofBrookfieldInfrastructureCorporationequity,"Non-controlling interest, Class A shares of Brookfield Infrastructure Corporation, equity",,1,0,C,,"Non-controlling interest, Class A shares of Brookfield Infrastructure Corporation, equity",I,1
NoncontrollinginterestExchangeLPunitsequity,"Non-controlling interest, Exchange LP units, equity",,1,0,C,,"Non-controlling interest, Exchange LP units, equity",I,1
InvestmentsInAndAdvancesToCoalMines,Investments In and Advances To Coal Mines.,,1,0,D,,"Total investments in and advances to coal mines. These may include (A) an entity in which the entity has significant influence, but does not have control, (B) subsidiaries that are not required to be consolidated and are accounted for using the equity and or cost method, and (C) an entity in which the reporting entity shares control of the entity with another party or group. Includes long-term advances receivable from a party that is affiliated with the reporting entity by means of direct or indirect ownership.",I,1
DueFromRelatedPartiesCurrentNet,Due from Related Parties Current Net,,1,0,D,,"The aggregate amount of receivables to be collected from related parties where one party can exercise control or significant influence over another party; including affiliates, owners or officers and their immediate families, pension trusts, and so forth, at the financial statement date which are usually due within one year (or one business cycle) reduced to the estimated net realizable fair value by an allowance established by the entity of the amount it deems uncertain of collection.",I,1
NotesPayableRelatedToPurchaseOfNonControllingInterestPermanentEquity,"Notes Payable Related to Purchase of Non-Controlling Interest, Permanent Equity",,1,0,D,,The amount of business acquisition cost of acquired entity debt issued on the date of acquisition.,I,1
NotesPayableRelatedToPurchaseOfRedeemableNonControllingInterest,Notes Payable Related to Purchase of Redeemable Non-Controlling Interest,,1,0,D,,The amount of notes payable related to purchase of redeemable non-controlling interest.,I,1
AssetsBeforeFundsHeldForClientsCurrent,AssetsBeforeFundsHeldForClientsCurrent,,1,0,D,,"Sum of the carrying amounts as of the balance sheet date of all assets, before funds held for clients, that are expected to be realized in cash, sold, or consumed within one year (or the normal operating cycle, if longer). Assets are probable future economic benefits obtained or controlled by an entity as a result of past transactions or events.",I,1
TotalPatronageCapitalIncludingPortionAttributableToNoncontrollingInterest,Total Patronage Capital Including Portion Attributable To Noncontrolling Interest,,1,0,C,,Total patronage capital and non-controlling interest.,I,1
RedeemableNoncontrollingInterestRelatedPartyCarryingAmount,"Redeemable Noncontrolling Interest, Related Party, Carrying Amount",,1,0,C,,"Redeemable Noncontrolling Interest, Related Party, Carrying Amount",I,1
StockholdersEquityAttributabletoNoncontrollingInterestThirdParty,"Stockholders' Equity Attributable to Noncontrolling Interest, Third Party",,1,0,C,,"Stockholders' Equity Attributable to Noncontrolling Interest, Third Party",I,1
TotalCapitalizationAndLiabilities,Total Capitalization And Liabilities,,1,0,C,,"Total of Patronage capital including non-controlling interest, long-term debt and liabilities.",I,1
StockholdersEquityAndTemporaryEquityIncludingPortionAttributableToNoncontrollingInterest,Stockholders Equity And Temporary Equity Including Portion Attributable To Noncontrolling Interest,,1,0,C,,Stockholders equity and temporary equity including portion attributable to noncontrolling interest.,I,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestBeforeRecapitalizationTransactionShares,Stockholders Equity Including Portion Attributable To Noncontrolling Interest Before Recapitalization Transaction Shares,,1,0,,,"Number of shares issued which are net of receivables from officers, directors, owners, and affiliates of the entity, attributable to both the parent and noncontrolling interests before recapitalization transaction.",I,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestBeforeRecapitalizationTransaction,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest, Before Recapitalization Transaction",,1,0,C,,"Amount of stockholders' equity (deficit), net of receivables from officers, directors, owners, and affiliates of the entity, attributable to both the parent and noncontrolling interests before recapitalization transaction.",I,1
NonControlledOrNonAffiliatedInvestmentsAtFairValueAmortizedCost,"Non-controlled or Non-affiliated investments at Fair Value, Amortized Cost",,1,0,D,,The amount of non-controlled or non-affiliated investments at fair value amortized cost.,I,1
NonControlledOrAffiliatedInvestmentsAtFairValueAmortizedCost,"Non-controlled or Affiliated Investments at Fair Value, Amortized Cost",,1,0,D,,The amount of non-controlled or affiliated investments at fair value amortized cost.,I,1
NonControlledOrNonAffiliatedInvestmentsAtFairValue,Non-controlled or Non-affiliated Investments at Fair Value,,1,0,D,,Fair value portion of non-controlled or non-affiliated investments accounted under the equity method.,I,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestBeforeAdjusted,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest, Before Adjusted",,1,0,C,,"Amount of stockholders' equity (deficit), before adjusted for retroactive application of the recapitalization due to the Business Combination.",I,1
StockholdersEquityAttributableToNoncontrollingInterestExcludingPreferredStock,"Stockholders' Equity Attributable to Noncontrolling Interest, Excluding Preferred Stock",,1,0,C,,"Stockholders' equity (deficit) items excluding preferred stock, net of receivables from officers, directors, owners, and affiliates of the entity which is directly or indirectly attributable to that ownership interest in subsidiary equity which is not attributable to the parent (that is, noncontrolling interest, previously referred to as minority interest).",I,1
StockholdersEquityAttributabletoNoncontrollingInterestRelatedParty,"Stockholders' Equity Attributable to Noncontrolling Interest, Related Party",,1,0,C,,"Stockholders' Equity Attributable to Noncontrolling Interest, Related Party",I,1
RedeemableNoncontrollingInterestEquity,"Redeemable Noncontrolling Interest, Equity",,1,0,C,,"Redeemable Noncontrolling Interest, Equity",I,1
ProjectUnderDevelopment,ProjectUnderDevelopment,,1,0,D,,Project under development with probable future economic benefits obtained or controlled by an entity as a result of past transactions or events longer than one year.,I,1
StockholdersEquityAttributableToNoncontrollingInterestPreferredSharesIssuedBySubsidiary,Stockholders' Equity Attributable to Noncontrolling Interest - Preferred Shares Issued by Subsidiary,,1,0,C,,"Stockholders' equity (deficit) items, which is composed of preferred shares issued by subsidiary, net of receivables from officers, directors, owners, and affiliates of the entity which is directly or indirectly attributable to that ownership interest in subsidiary equity, which is not attributable to the parent.",I,1
StockholdersEquityIncludingNoncontrolingInterest,StockholdersEquityIncludingNoncontrolingInterest,,1,0,C,,Stockholders Equity Including Noncontroling Interest.,I,1
AssetsCurrentExcludingMerchantReserves,usio_AssetsCurrentExcludingMerchantReserves,,1,0,D,,"Sum of the carrying amounts as of the balance sheet date of all assets, excluding merchant reserves, that are expected to be realized in cash, sold, or consumed within one year (or the normal operating cycle, if longer). Assets are probable future economic benefits obtained or controlled by an entity as a result of past transactions or events.",I,1
StockholdersEquityTotal,StockholdersEquityTotal,,1,0,C,,"Total of all stockholders' equity (deficit) items, net of receivables from officers, directors, owners, and affiliates of the entity which are attributable to the parent. The amount of the economic entity's stockholders' equity attributable to the parent excludes the amount of stockholders' equity which is allocable to that ownership interest in subsidiary equity which is not attributable to the parent (noncontrolling interest, minority interest). This excludes temporary equity and is sometimes called permanent equity.",I,1
NetLossFromLossOfControl,NetLossFromLossOfControl,,1,0,D,,Net loss from loss of control.,I,1
